Track Name,Artist Name(s),Album Name,Popularity,Energy,Tempo
Side Effects (feat. Emily Warren),"The Chainsmokers, Emily Warren",Sick Boy...Side Effects,0,0.71,110.017
Hey DJ,Lighter Shade Of Brown,Greatest Hits,0,0.928,99.997
Some Kind Of Wonderful,Grand Funk Railroad,Greatest Hits: Grand Funk Railroad (Remastered),54,0.721,121.417
Kosciusko - Remastered Version,Midnight Oil,Essential Oils,25,0.923,81.107
Roses,Outkast,Speakerboxxx/The Love Below,0,0.703,108.963
Frozen,Madonna,Ray of Light,67,0.616,108.017
Caught Up In You,38 Special,Special Forces,68,0.681,131.011
Why Does My Heart Feel so Bad?,Moby,Play,68,0.597,97.884
All Alone,Jackson Jackson,Tools for Survival,17,0.674,129.991
Hit Me Up,Gia Farrell,Happy Feet Music From the Motion Picture,39,0.801,102.009
Heart Skips a Beat (feat. Rizzle Kicks),"Olly Murs, Rizzle Kicks",In Case You Didn't Know,64,0.881,110.621
Love at First Sight,Kylie Minogue,The Best of Kylie Minogue,35,0.774,124.994
So What,P!nk,Funhouse,52,0.866,126.003
Danza Kuduro,"Don Omar, Lucenzo",Meet The Orphans,84,0.915,88.917
Kiss Kiss,Holly Valance,Kids Party,0,0.717,97.036
Scatman (ski-ba-bop-ba-dop-bop),Scatman John,Scatman's World,75,0.82,135.982
Pump It Up,Endor,Pump It Up,74,0.894,129.047
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,"Nathan Evans, 220 KID",Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),75,0.893,119.932
We'll Be Coming Back (feat. Example),"Calvin Harris, Example",18 Months,67,0.952,127.945
Because I Love You (The Postman Song),Stevie B,Valentine's Day Love: The Pop Collection,28,0.339,61.764
The Longest Time,Billy Joel,An Innocent Man,70,0.333,84.347
Switch Me On,Shannon Noll,A Million Suns,25,0.905,140.021
Elastic Heart,Sia,1000 Forms Of Fear,79,0.791,130.075
Cherry Pie,Skip & Flip,The Best of Skip & Flip,0,0.255,86.039
Shimmy A Go Go,Short Stack,Stack Is The New Black,9,0.897,140.038
Starlight,Muse,Black Holes and Revelations,78,0.874,121.61
Almost Here (Duet with Brian McFadden) (with Brian McFadden),"Delta Goodrem, Brian McFadden",Mistaken Identity,47,0.471,78.004
